TYPE,CENTER TIME,START TIME,END TIME,USAGE,UNITS,NOTES,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DAY,MONTH,YEAR
Electric usage,2020-08-01 00:07:30,2020-08-01 00:00:00,2020-08-01 00:14:00,0.06,kWh,,25.88888888888889,19.444444444444443,66.8,,1.8,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 00:22:30,2020-08-01 00:15:00,2020-08-01 00:29:00,0.06,kWh,,25.777777777777782,19.444444444444443,67.2,,1.2000000000000002,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 00:37:30,2020-08-01 00:30:00,2020-08-01 00:44:00,0.06,kWh,,25.66666666666667,19.444444444444443,67.6,,0.6000000000000001,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 00:52:30,2020-08-01 00:45:00,2020-08-01 00:59:00,0.09,kWh,,25.333333333333336,19.666666666666668,70.2,,0.0,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 01:07:30,2020-08-01 01:00:00,2020-08-01 01:14:00,0.09,kWh,,25.111111111111114,19.88888888888889,72.4,,0.0,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 01:22:30,2020-08-01 01:15:00,2020-08-01 01:29:00,0.06,kWh,,24.88888888888889,20.111111111111114,74.6,,0.0,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 01:37:30,2020-08-01 01:30:00,2020-08-01 01:44:00,0.06,kWh,,24.666666666666668,20.333333333333336,76.8,,0.0,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 01:52:30,2020-08-01 01:45:00,2020-08-01 01:59:00,0.06,kWh,,24.666666666666668,20.44444444444445,77.4,,0.6,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 02:07:30,2020-08-01 02:00:00,2020-08-01 02:14:00,0.1,kWh,,24.88888888888889,20.333333333333336,75.8,,1.2,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 02:22:30,2020-08-01 02:15:00,2020-08-01 02:29:00,0.08,kWh,,25.111111111111114,20.222222222222225,74.2,,1.7999999999999998,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 02:37:30,2020-08-01 02:30:00,2020-08-01 02:44:00,0.06,kWh,,25.333333333333336,20.11111111111111,72.6,,2.4,0.0,29.83,0.0,,1,8,2020
Electric usage,2020-08-01 02:52:30,2020-08-01 02:45:00,2020-08-01 02:59:00,0.06,kWh,,25.55555555555556,20.0,71.0,,2.4,0.0,29.828,0.0,,1,8,2020
Electric usage,2020-08-01 03:07:30,2020-08-01 03:00:00,2020-08-01 03:14:00,0.06,kWh,,25.55555555555556,20.0,71.0,,1.8,0.0,29.826,0.0,,1,8,2020
Electric usage,2020-08-01 03:22:30,2020-08-01 03:15:00,2020-08-01 03:29:00,0.1,kWh,,25.55555555555556,20.0,71.0,,1.2000000000000002,0.0,29.823999999999998,0.0,,1,8,2020
Electric usage,2020-08-01 03:37:30,2020-08-01 03:30:00,2020-08-01 03:44:00,0.08,kWh,,25.55555555555556,20.0,71.0,,0.6000000000000001,0.0,29.822,0.0,,1,8,2020
Electric usage,2020-08-01 03:52:30,2020-08-01 03:45:00,2020-08-01 03:59:00,0.06,kWh,,25.222222222222225,20.11111111111111,73.2,,1.2,0.0,29.824,0.0,,1,8,2020
Electric usage,2020-08-01 04:07:30,2020-08-01 04:00:00,2020-08-01 04:14:00,0.06,kWh,,24.888888888888893,20.222222222222225,75.4,,2.4,0.0,29.828,0.0,,1,8,2020
Electric usage,2020-08-01 04:22:30,2020-08-01 04:15:00,2020-08-01 04:29:00,0.07,kWh,,24.555555555555557,20.333333333333336,77.6,,3.5999999999999996,0.0,29.832,0.0,,1,8,2020
Electric usage,2020-08-01 04:37:30,2020-08-01 04:30:00,2020-08-01 04:44:00,0.1,kWh,,24.222222222222225,20.44444444444445,79.8,,4.8,0.0,29.836,0.0,,1,8,2020
Electric usage,2020-08-01 04:52:30,2020-08-01 04:45:00,2020-08-01 04:59:00,0.07,kWh,,23.77777777777778,20.55555555555556,82.6,,5.4,0.0,29.844,0.0,,1,8,2020
