TYPE,CENTER TIME,START TIME,END TIME,USAGE,UNITS,NOTES,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DAY,MONTH,YEAR
Electric usage,2021-02-01 00:07:30,2021-02-01 00:00:00,2021-02-01 00:14:00,0.03,kWh,,-2.2222222222222223,-4.0,87.2,,19.2,12.0,29.88,0.0,,1,2,2021
Electric usage,2021-02-01 00:22:30,2021-02-01 00:15:00,2021-02-01 00:29:00,0.04,kWh,,-1.1111111111111112,-2.666666666666667,88.8,,18.8,18.0,29.76,0.0,,1,2,2021
Electric usage,2021-02-01 00:37:30,2021-02-01 00:30:00,2021-02-01 00:44:00,0.05,kWh,,0.0,-1.333333333333333,90.4,,18.4,24.0,29.64,0.0,,1,2,2021
Electric usage,2021-02-01 00:52:30,2021-02-01 00:45:00,2021-02-01 00:59:00,0.05,kWh,,0.0,-1.3888888888888888,90.0,,18.75,22.5,29.6575,0.0,,1,2,2021
Electric usage,2021-02-01 01:07:30,2021-02-01 01:00:00,2021-02-01 01:14:00,0.07,kWh,,-1.1111111111111112,-2.7777777777777777,88.0,,19.5,15.0,29.795,0.0,,1,2,2021
Electric usage,2021-02-01 01:22:30,2021-02-01 01:15:00,2021-02-01 01:29:00,0.05,kWh,,-2.2222222222222223,-4.166666666666666,86.0,,20.25,7.5,29.9325,0.0,,1,2,2021
Electric usage,2021-02-01 01:37:30,2021-02-01 01:30:00,2021-02-01 01:44:00,0.03,kWh,,-3.333333333333333,-5.555555555555555,84.0,,21.5,0.0,30.064999999999998,0.0,,1,2,2021
Electric usage,2021-02-01 01:52:30,2021-02-01 01:45:00,2021-02-01 01:59:00,0.03,kWh,,-3.222222222222222,-5.333333333333333,85.0,,23.2,0.0,30.055999999999997,0.0,,1,2,2021
Electric usage,2021-02-01 02:07:30,2021-02-01 02:00:00,2021-02-01 02:14:00,0.04,kWh,,-3.1111111111111107,-5.111111111111111,86.0,,24.4,0.0,30.052,0.0,,1,2,2021
Electric usage,2021-02-01 02:22:30,2021-02-01 02:15:00,2021-02-01 02:29:00,0.06,kWh,,-3.0,-4.888888888888889,87.0,,25.6,0.0,30.048,0.0,,1,2,2021
Electric usage,2021-02-01 02:37:30,2021-02-01 02:30:00,2021-02-01 02:44:00,0.06,kWh,,-2.888888888888889,-4.666666666666667,88.0,,26.8,0.0,30.044,0.0,,1,2,2021
Electric usage,2021-02-01 02:52:30,2021-02-01 02:45:00,2021-02-01 02:59:00,0.06,kWh,,-2.6666666666666665,-4.333333333333334,88.8,,27.4,6.4,30.034,0.0,,1,2,2021
Electric usage,2021-02-01 03:07:30,2021-02-01 03:00:00,2021-02-01 03:14:00,0.04,kWh,,-2.5555555555555554,-4.222222222222222,88.6,,26.8,12.8,30.028,0.0,,1,2,2021
Electric usage,2021-02-01 03:22:30,2021-02-01 03:15:00,2021-02-01 03:29:00,0.2,kWh,,-2.4444444444444446,-4.111111111111111,88.4,,26.2,19.200000000000003,30.022000000000002,0.0,,1,2,2021
Electric usage,2021-02-01 03:37:30,2021-02-01 03:30:00,2021-02-01 03:44:00,0.05,kWh,,-2.3333333333333335,-4.0,88.2,,25.6,25.6,30.016000000000002,0.0,,1,2,2021
Electric usage,2021-02-01 03:52:30,2021-02-01 03:45:00,2021-02-01 03:59:00,0.11,kWh,,-2.0833333333333335,-4.027777777777778,86.5,,26.5,33.5,30.005000000000003,0.0,,1,2,2021
Electric usage,2021-02-01 04:07:30,2021-02-01 04:00:00,2021-02-01 04:14:00,0.11,kWh,,-1.9444444444444446,-4.166666666666667,85.0,,28.0,35.0,30.0,0.0,,1,2,2021
Electric usage,2021-02-01 04:22:30,2021-02-01 04:15:00,2021-02-01 04:29:00,0.09,kWh,,-1.8055555555555556,-4.305555555555555,83.5,,29.5,36.5,29.994999999999997,0.0,,1,2,2021
Electric usage,2021-02-01 04:37:30,2021-02-01 04:30:00,2021-02-01 04:44:00,0.08,kWh,,-1.6666666666666667,-4.166666666666667,83.5,,30.5,36.5,29.985,0.0,,1,2,2021
Electric usage,2021-02-01 04:52:30,2021-02-01 04:45:00,2021-02-01 04:59:00,0.08,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,30.2,35.4,29.978,0.0,,1,2,2021
Electric usage,2021-02-01 05:07:30,2021-02-01 05:00:00,2021-02-01 05:14:00,0.13,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,30.4,35.8,29.976,0.0,,1,2,2021
Electric usage,2021-02-01 05:22:30,2021-02-01 05:15:00,2021-02-01 05:29:00,0.11,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,30.6,36.2,29.974,0.0,,1,2,2021
Electric usage,2021-02-01 05:37:30,2021-02-01 05:30:00,2021-02-01 05:44:00,0.09,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,30.8,36.6,29.971999999999998,0.0,,1,2,2021
Electric usage,2021-02-01 05:52:30,2021-02-01 05:45:00,2021-02-01 05:59:00,0.08,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,30.6,37.4,29.965999999999998,0.0,,1,2,2021
Electric usage,2021-02-01 06:07:30,2021-02-01 06:00:00,2021-02-01 06:14:00,0.06,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,30.2,37.8,29.962,0.0,,1,2,2021
Electric usage,2021-02-01 06:22:30,2021-02-01 06:15:00,2021-02-01 06:29:00,0.05,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,29.8,38.2,29.958,0.0,,1,2,2021
Electric usage,2021-02-01 06:37:30,2021-02-01 06:30:00,2021-02-01 06:44:00,0.06,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,29.4,38.6,29.954,0.0,,1,2,2021
Electric usage,2021-02-01 06:52:30,2021-02-01 06:45:00,2021-02-01 06:59:00,0.08,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,29.6,39.4,29.948,0.0,,1,2,2021
Electric usage,2021-02-01 07:07:30,2021-02-01 07:00:00,2021-02-01 07:14:00,0.09,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,30.2,39.8,29.946,0.0,,1,2,2021
Electric usage,2021-02-01 07:22:30,2021-02-01 07:15:00,2021-02-01 07:29:00,0.08,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,30.8,40.2,29.944,0.0,,1,2,2021
Electric usage,2021-02-01 07:37:30,2021-02-01 07:30:00,2021-02-01 07:44:00,0.04,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,31.4,40.6,29.942,0.0,,1,2,2021
Electric usage,2021-02-01 07:52:30,2021-02-01 07:45:00,2021-02-01 07:59:00,0.06,kWh,,-1.6666666666666667,-3.888888888888889,85.0,,28.0,39.5,29.94,0.0,,1,2,2021
Electric usage,2021-02-01 08:07:30,2021-02-01 08:00:00,2021-02-01 08:14:00,0.07,kWh,,-1.6666666666666667,-3.75,86.0,,25.75,38.75,29.9375,0.0,,1,2,2021
Electric usage,2021-02-01 08:22:30,2021-02-01 08:15:00,2021-02-01 08:29:00,0.08,kWh,,-1.6666666666666667,-3.6111111111111107,87.0,,27.5,39.5,29.935000000000002,0.0,,1,2,2021
Electric usage,2021-02-01 08:37:30,2021-02-01 08:30:00,2021-02-01 08:44:00,0.05,kWh,,-1.6666666666666667,-3.472222222222222,88.0,,29.25,40.25,29.9325,0.0,,1,2,2021
Electric usage,2021-02-01 08:52:30,2021-02-01 08:45:00,2021-02-01 08:59:00,0.05,kWh,,-1.6666666666666667,-3.333333333333333,89.0,,29.0,41.666666666666664,29.93,0.0,,1,2,2021
Electric usage,2021-02-01 09:07:30,2021-02-01 09:00:00,2021-02-01 09:14:00,0.13,kWh,,-1.6666666666666667,-3.333333333333333,89.0,,27.0,42.333333333333336,29.93,0.0,,1,2,2021
Electric usage,2021-02-01 09:22:30,2021-02-01 09:15:00,2021-02-01 09:29:00,0.08,kWh,,-1.6666666666666667,-3.333333333333333,89.0,,26.666666666666668,41.666666666666664,29.926666666666666,0.0,,1,2,2021
Electric usage,2021-02-01 09:37:30,2021-02-01 09:30:00,2021-02-01 09:44:00,0.07,kWh,,-1.6666666666666667,-3.333333333333333,89.0,,28.333333333333332,40.333333333333336,29.923333333333336,0.0,,1,2,2021
Electric usage,2021-02-01 09:52:30,2021-02-01 09:45:00,2021-02-01 09:59:00,0.07,kWh,,-1.527777777777778,-3.333333333333333,88.0,,30.0,40.0,29.9125,0.0,,1,2,2021
Electric usage,2021-02-01 10:07:30,2021-02-01 10:00:00,2021-02-01 10:14:00,0.08,kWh,,-1.3888888888888888,-3.333333333333333,87.0,,30.0,41.0,29.905,0.0,,1,2,2021
Electric usage,2021-02-01 10:22:30,2021-02-01 10:15:00,2021-02-01 10:29:00,0.08,kWh,,-1.25,-3.333333333333333,86.0,,30.0,42.0,29.8975,0.0,,1,2,2021
Electric usage,2021-02-01 10:37:30,2021-02-01 10:30:00,2021-02-01 10:44:00,0.06,kWh,,-1.1111111111111112,-3.0555555555555554,86.5,,29.5,40.5,29.884999999999998,0.0,,1,2,2021
Electric usage,2021-02-01 10:52:30,2021-02-01 10:45:00,2021-02-01 10:59:00,0.04,kWh,,-1.1111111111111112,-2.9166666666666665,87.25,,29.0,38.25,29.875,0.0,,1,2,2021
Electric usage,2021-02-01 11:07:30,2021-02-01 11:00:00,2021-02-01 11:14:00,0.12,kWh,,-1.1111111111111112,-3.0555555555555554,86.5,,29.0,38.5,29.869999999999997,0.0,,1,2,2021
Electric usage,2021-02-01 11:22:30,2021-02-01 11:15:00,2021-02-01 11:29:00,0.07,kWh,,-1.1111111111111112,-3.194444444444444,85.75,,29.0,38.75,29.865,0.0,,1,2,2021
Electric usage,2021-02-01 11:37:30,2021-02-01 11:30:00,2021-02-01 11:44:00,0.08,kWh,,-1.1111111111111112,-3.0555555555555554,86.5,,27.5,38.0,29.86,0.0,,1,2,2021
Electric usage,2021-02-01 11:52:30,2021-02-01 11:45:00,2021-02-01 11:59:00,0.05,kWh,,-1.1111111111111112,-2.7777777777777777,88.0,,25.2,37.0,29.852,0.02,,1,2,2021
Electric usage,2021-02-01 12:07:30,2021-02-01 12:00:00,2021-02-01 12:14:00,0.07,kWh,,-1.1111111111111112,-2.7777777777777777,88.0,,24.4,37.0,29.844,0.04,,1,2,2021
Electric usage,2021-02-01 12:22:30,2021-02-01 12:15:00,2021-02-01 12:29:00,0.09,kWh,,-1.1111111111111112,-2.7777777777777777,88.0,,23.6,37.0,29.836,0.06,,1,2,2021
