TYPE,CENTER TIME,START TIME,END TIME,USAGE,UNITS,NOTES,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DAY,MONTH,YEAR
Electric usage,2021-01-01 00:07:30,2021-01-01 00:00:00,2021-01-01 00:14:00,0.05,kWh,,3.888888888888889,-1.7777777777777777,67.8,,11.0,0.0,30.224,0.04,,1,1,2021
Electric usage,2021-01-01 00:22:30,2021-01-01 00:15:00,2021-01-01 00:29:00,0.05,kWh,,3.888888888888889,-0.44444444444444464,74.2,,12.0,0.0,30.145999999999997,0.06,,1,1,2021
Electric usage,2021-01-01 00:37:30,2021-01-01 00:30:00,2021-01-01 00:44:00,0.07,kWh,,3.888888888888889,0.8888888888888893,80.6,,13.0,0.0,30.067999999999998,0.08,,1,1,2021
Electric usage,2021-01-01 00:52:30,2021-01-01 00:45:00,2021-01-01 00:59:00,0.08,kWh,,4.666666666666667,0.8888888888888888,77.0,,12.8,0.0,30.072,0.08,,1,1,2021
Electric usage,2021-01-01 01:07:30,2021-01-01 01:00:00,2021-01-01 01:14:00,0.05,kWh,,4.333333333333333,-0.44444444444444464,72.0,,11.6,0.0,30.154,0.060000000000000005,,1,1,2021
Electric usage,2021-01-01 01:22:30,2021-01-01 01:15:00,2021-01-01 01:29:00,0.04,kWh,,4.0,-1.7777777777777777,67.0,,10.4,0.0,30.235999999999997,0.04000000000000001,,1,1,2021
Electric usage,2021-01-01 01:37:30,2021-01-01 01:30:00,2021-01-01 01:44:00,0.04,kWh,,3.6666666666666665,-3.1111111111111116,62.0,,9.2,0.0,30.317999999999998,0.020000000000000004,,1,1,2021
Electric usage,2021-01-01 01:52:30,2021-01-01 01:45:00,2021-01-01 01:59:00,0.05,kWh,,3.333333333333333,-4.444444444444445,57.0,,7.8,0.0,30.406,0.0,,1,1,2021
Electric usage,2021-01-01 02:07:30,2021-01-01 02:00:00,2021-01-01 02:14:00,0.08,kWh,,3.333333333333333,-4.444444444444445,57.0,,7.6,0.0,30.412,0.0,,1,1,2021
Electric usage,2021-01-01 02:22:30,2021-01-01 02:15:00,2021-01-01 02:29:00,0.06,kWh,,3.333333333333333,-4.444444444444445,57.0,,7.4,0.0,30.418,0.0,,1,1,2021
Electric usage,2021-01-01 02:37:30,2021-01-01 02:30:00,2021-01-01 02:44:00,0.05,kWh,,3.333333333333333,-4.444444444444445,57.0,,7.2,0.0,30.424,0.0,,1,1,2021
Electric usage,2021-01-01 02:52:30,2021-01-01 02:45:00,2021-01-01 02:59:00,0.05,kWh,,3.222222222222222,-4.444444444444445,57.4,,6.8,0.0,30.432,0.0,,1,1,2021
Electric usage,2021-01-01 03:07:30,2021-01-01 03:00:00,2021-01-01 03:14:00,0.04,kWh,,3.1111111111111107,-4.444444444444445,57.8,,6.6,0.0,30.434,0.0,,1,1,2021
Electric usage,2021-01-01 03:22:30,2021-01-01 03:15:00,2021-01-01 03:29:00,0.08,kWh,,3.0,-4.444444444444445,58.2,,6.4,0.0,30.436,0.0,,1,1,2021
Electric usage,2021-01-01 03:37:30,2021-01-01 03:30:00,2021-01-01 03:44:00,0.06,kWh,,2.888888888888889,-4.444444444444445,58.6,,6.2,0.0,30.438000000000002,0.0,,1,1,2021
Electric usage,2021-01-01 03:52:30,2021-01-01 03:45:00,2021-01-01 03:59:00,0.05,kWh,,2.6666666666666665,-4.444444444444445,59.6,,5.8,0.0,30.442,0.0,,1,1,2021
Electric usage,2021-01-01 04:07:30,2021-01-01 04:00:00,2021-01-01 04:14:00,0.05,kWh,,2.5555555555555554,-4.444444444444445,60.2,,5.6,0.0,30.444,0.0,,1,1,2021
Electric usage,2021-01-01 04:22:30,2021-01-01 04:15:00,2021-01-01 04:29:00,0.06,kWh,,2.4444444444444446,-4.444444444444445,60.8,,5.4,0.0,30.446,0.0,,1,1,2021
Electric usage,2021-01-01 04:37:30,2021-01-01 04:30:00,2021-01-01 04:44:00,0.12,kWh,,2.3333333333333335,-4.444444444444445,61.4,,5.2,0.0,30.448,0.0,,1,1,2021
Electric usage,2021-01-01 04:52:30,2021-01-01 04:45:00,2021-01-01 04:59:00,0.08,kWh,,2.2222222222222223,-4.444444444444445,62.0,,5.0,0.0,30.451999999999998,0.0,,1,1,2021
Electric usage,2021-01-01 05:07:30,2021-01-01 05:00:00,2021-01-01 05:14:00,0.06,kWh,,2.2222222222222223,-4.444444444444445,62.0,,5.0,0.0,30.454,0.0,,1,1,2021
Electric usage,2021-01-01 05:22:30,2021-01-01 05:15:00,2021-01-01 05:29:00,0.06,kWh,,2.2222222222222223,-4.444444444444445,62.0,,5.0,0.0,30.456,0.0,,1,1,2021
Electric usage,2021-01-01 05:37:30,2021-01-01 05:30:00,2021-01-01 05:44:00,0.06,kWh,,2.2222222222222223,-4.444444444444445,62.0,,5.0,0.0,30.458000000000002,0.0,,1,1,2021
Electric usage,2021-01-01 05:52:30,2021-01-01 05:45:00,2021-01-01 05:59:00,0.09,kWh,,2.2222222222222223,-4.555555555555555,61.4,,5.2,0.0,30.462,0.0,,1,1,2021
Electric usage,2021-01-01 06:07:30,2021-01-01 06:00:00,2021-01-01 06:14:00,0.08,kWh,,2.2222222222222223,-4.666666666666667,60.8,,5.4,0.0,30.464,0.0,,1,1,2021
Electric usage,2021-01-01 06:22:30,2021-01-01 06:15:00,2021-01-01 06:29:00,0.06,kWh,,2.2222222222222223,-4.777777777777778,60.2,,5.6,0.0,30.466,0.0,,1,1,2021
Electric usage,2021-01-01 06:37:30,2021-01-01 06:30:00,2021-01-01 06:44:00,0.06,kWh,,2.2222222222222223,-4.888888888888889,59.6,,5.8,0.0,30.468,0.0,,1,1,2021
Electric usage,2021-01-01 06:52:30,2021-01-01 06:45:00,2021-01-01 06:59:00,0.09,kWh,,2.111111111111111,-5.111111111111111,59.0,,6.4,0.0,30.474,0.0,,1,1,2021
Electric usage,2021-01-01 07:07:30,2021-01-01 07:00:00,2021-01-01 07:14:00,0.07,kWh,,2.0,-5.222222222222222,59.0,,6.8,0.0,30.477999999999998,0.0,,1,1,2021
Electric usage,2021-01-01 07:22:30,2021-01-01 07:15:00,2021-01-01 07:29:00,0.06,kWh,,1.8888888888888888,-5.333333333333333,59.0,,7.2,0.0,30.482,0.0,,1,1,2021
Electric usage,2021-01-01 07:37:30,2021-01-01 07:30:00,2021-01-01 07:44:00,0.09,kWh,,1.777777777777778,-5.444444444444445,59.0,,7.6,0.0,30.485999999999997,0.0,,1,1,2021
Electric usage,2021-01-01 07:52:30,2021-01-01 07:45:00,2021-01-01 07:59:00,0.06,kWh,,1.6666666666666667,-5.555555555555555,59.0,,7.8,0.0,30.494,0.0,,1,1,2021
Electric usage,2021-01-01 08:07:30,2021-01-01 08:00:00,2021-01-01 08:14:00,0.07,kWh,,1.6666666666666667,-5.555555555555555,59.0,,7.6,0.0,30.498,0.0,,1,1,2021
Electric usage,2021-01-01 08:22:30,2021-01-01 08:15:00,2021-01-01 08:29:00,0.11,kWh,,1.6666666666666667,-5.555555555555555,59.0,,7.4,0.0,30.502,0.0,,1,1,2021
Electric usage,2021-01-01 08:37:30,2021-01-01 08:30:00,2021-01-01 08:44:00,0.07,kWh,,1.6666666666666667,-5.555555555555555,59.0,,7.2,0.0,30.506,0.0,,1,1,2021
