TYPE,CENTER TIME,START TIME,END TIME,USAGE,UNITS,NOTES,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DAY,MONTH,YEAR
Electric usage,2020-06-01 00:07:30,2020-06-01 00:00:00,2020-06-01 00:14:00,0.04,kWh,,14.777777777777779,0.5555555555555556,38.4,,15.0,0.0,30.16,0.0,,1,6,2020
Electric usage,2020-06-01 00:22:30,2020-06-01 00:15:00,2020-06-01 00:29:00,0.04,kWh,,14.666666666666666,0.5555555555555556,38.6,,15.0,0.0,30.16,0.0,,1,6,2020
Electric usage,2020-06-01 00:37:30,2020-06-01 00:30:00,2020-06-01 00:44:00,0.07,kWh,,14.555555555555555,0.5555555555555556,38.8,,15.0,0.0,30.16,0.0,,1,6,2020
Electric usage,2020-06-01 00:52:30,2020-06-01 00:45:00,2020-06-01 00:59:00,0.05,kWh,,14.333333333333334,0.5555555555555556,39.2,,13.8,0.0,30.162,0.0,,1,6,2020
Electric usage,2020-06-01 01:07:30,2020-06-01 01:00:00,2020-06-01 01:14:00,0.03,kWh,,14.222222222222223,0.5555555555555556,39.4,,12.6,0.0,30.164,0.0,,1,6,2020
Electric usage,2020-06-01 01:22:30,2020-06-01 01:15:00,2020-06-01 01:29:00,0.04,kWh,,14.11111111111111,0.5555555555555556,39.6,,11.4,0.0,30.166,0.0,,1,6,2020
Electric usage,2020-06-01 01:37:30,2020-06-01 01:30:00,2020-06-01 01:44:00,0.05,kWh,,14.0,0.5555555555555556,39.8,,10.2,0.0,30.168000000000003,0.0,,1,6,2020
Electric usage,2020-06-01 01:52:30,2020-06-01 01:45:00,2020-06-01 01:59:00,0.07,kWh,,13.777777777777779,0.5555555555555556,40.4,,9.6,0.0,30.17,0.0,,1,6,2020
Electric usage,2020-06-01 02:07:30,2020-06-01 02:00:00,2020-06-01 02:14:00,0.03,kWh,,13.666666666666668,0.5555555555555556,40.8,,10.2,0.0,30.17,0.0,,1,6,2020
Electric usage,2020-06-01 02:22:30,2020-06-01 02:15:00,2020-06-01 02:29:00,0.04,kWh,,13.555555555555555,0.5555555555555556,41.2,,10.8,0.0,30.17,0.0,,1,6,2020
Electric usage,2020-06-01 02:37:30,2020-06-01 02:30:00,2020-06-01 02:44:00,0.03,kWh,,13.444444444444445,0.5555555555555556,41.6,,11.4,0.0,30.17,0.0,,1,6,2020
Electric usage,2020-06-01 02:52:30,2020-06-01 02:45:00,2020-06-01 02:59:00,0.06,kWh,,13.333333333333334,0.7777777777777778,42.6,,11.6,0.0,30.17,0.0,,1,6,2020
Electric usage,2020-06-01 03:07:30,2020-06-01 03:00:00,2020-06-01 03:14:00,0.06,kWh,,13.333333333333334,1.0,43.2,,11.2,0.0,30.17,0.0,,1,6,2020
Electric usage,2020-06-01 03:22:30,2020-06-01 03:15:00,2020-06-01 03:29:00,0.04,kWh,,13.333333333333334,1.2222222222222223,43.8,,10.8,0.0,30.17,0.0,,1,6,2020
Electric usage,2020-06-01 03:37:30,2020-06-01 03:30:00,2020-06-01 03:44:00,0.03,kWh,,13.333333333333334,1.4444444444444446,44.4,,10.4,0.0,30.17,0.0,,1,6,2020
Electric usage,2020-06-01 03:52:30,2020-06-01 03:45:00,2020-06-01 03:59:00,0.04,kWh,,13.222222222222223,1.5555555555555556,45.0,,10.0,0.0,30.172,0.0,,1,6,2020
Electric usage,2020-06-01 04:07:30,2020-06-01 04:00:00,2020-06-01 04:14:00,0.09,kWh,,13.111111111111112,1.4444444444444444,45.0,,10.0,0.0,30.174,0.0,,1,6,2020
Electric usage,2020-06-01 04:22:30,2020-06-01 04:15:00,2020-06-01 04:29:00,0.07,kWh,,13.000000000000002,1.3333333333333335,45.0,,10.0,0.0,30.176000000000002,0.0,,1,6,2020
Electric usage,2020-06-01 04:37:30,2020-06-01 04:30:00,2020-06-01 04:44:00,0.04,kWh,,12.888888888888891,1.2222222222222223,45.0,,10.0,0.0,30.178,0.0,,1,6,2020
Electric usage,2020-06-01 04:52:30,2020-06-01 04:45:00,2020-06-01 04:59:00,0.05,kWh,,12.666666666666668,1.2222222222222223,45.8,,10.8,0.0,30.184,0.0,,1,6,2020
