TYPE,CENTER TIME,START TIME,END TIME,USAGE,UNITS,NOTES,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DAY,MONTH,YEAR
Electric usage,2021-03-01 00:07:30,2021-03-01 00:00:00,2021-03-01 00:14:00,0.03,kWh,,2.5555555555555554,-2.7777777777777777,72.6,,17.2,17.2,29.91,0.0,,1,3,2021
Electric usage,2021-03-01 00:22:30,2021-03-01 00:15:00,2021-03-01 00:29:00,0.03,kWh,,1.8888888888888888,-5.5555555555555545,62.400000000000006,,19.8,25.799999999999997,29.9,0.0,,1,3,2021
Electric usage,2021-03-01 00:37:30,2021-03-01 00:30:00,2021-03-01 00:44:00,0.03,kWh,,1.2222222222222223,-8.333333333333332,52.2,,22.4,34.4,29.89,0.0,,1,3,2021
Electric usage,2021-03-01 00:52:30,2021-03-01 00:45:00,2021-03-01 00:59:00,0.07,kWh,,1.2222222222222223,-8.444444444444445,51.4,,23.2,34.4,29.872,0.0,,1,3,2021
Electric usage,2021-03-01 01:07:30,2021-03-01 01:00:00,2021-03-01 01:14:00,0.05,kWh,,1.8888888888888888,-5.777777777777778,60.8,,21.4,25.8,29.864,0.0,,1,3,2021
Electric usage,2021-03-01 01:22:30,2021-03-01 01:15:00,2021-03-01 01:29:00,0.03,kWh,,2.5555555555555554,-3.1111111111111107,70.2,,19.6,17.200000000000003,29.855999999999998,0.0,,1,3,2021
Electric usage,2021-03-01 01:37:30,2021-03-01 01:30:00,2021-03-01 01:44:00,0.03,kWh,,3.2222222222222223,-0.44444444444444464,79.6,,17.8,8.600000000000001,29.848,0.0,,1,3,2021
Electric usage,2021-03-01 01:52:30,2021-03-01 01:45:00,2021-03-01 01:59:00,0.03,kWh,,3.7777777777777777,2.2222222222222223,89.8,,15.4,0.0,29.832,0.0,,1,3,2021
Electric usage,2021-03-01 02:07:30,2021-03-01 02:00:00,2021-03-01 02:14:00,0.04,kWh,,3.6666666666666665,2.2222222222222223,90.6,,14.8,0.0,29.824,0.0,,1,3,2021
Electric usage,2021-03-01 02:22:30,2021-03-01 02:15:00,2021-03-01 02:29:00,0.06,kWh,,3.5555555555555554,2.2222222222222223,91.4,,14.2,0.0,29.816,0.0,,1,3,2021
Electric usage,2021-03-01 02:37:30,2021-03-01 02:30:00,2021-03-01 02:44:00,0.04,kWh,,3.444444444444444,2.2222222222222223,92.2,,13.6,0.0,29.808,0.0,,1,3,2021
Electric usage,2021-03-01 02:52:30,2021-03-01 02:45:00,2021-03-01 02:59:00,0.03,kWh,,3.444444444444444,2.2222222222222223,92.2,,12.2,0.0,29.79,0.0,,1,3,2021
Electric usage,2021-03-01 03:07:30,2021-03-01 03:00:00,2021-03-01 03:14:00,0.03,kWh,,3.5555555555555554,2.2222222222222223,91.4,,11.4,0.0,29.78,0.0,,1,3,2021
Electric usage,2021-03-01 03:22:30,2021-03-01 03:15:00,2021-03-01 03:29:00,0.19,kWh,,3.6666666666666665,2.2222222222222223,90.6,,10.6,0.0,29.77,0.0,,1,3,2021
