TYPE,CENTER TIME,START TIME,END TIME,USAGE,UNITS,NOTES,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DAY,MONTH,YEAR
Electric usage,2020-05-25 00:07:30,2020-05-25 00:00:00,2020-05-25 00:14:00,0.04,kWh,,,,,,,,,,,25,5,2020
Electric usage,2020-05-25 00:22:30,2020-05-25 00:15:00,2020-05-25 00:29:00,0.04,kWh,,14.444444444444445,11.11111111111111,81.0,,6.333333333333333,0.0,30.206666666666667,0.0,,25,5,2020
Electric usage,2020-05-25 00:37:30,2020-05-25 00:30:00,2020-05-25 00:44:00,0.04,kWh,,14.444444444444445,11.11111111111111,81.0,,6.666666666666667,0.0,30.203333333333333,0.0,,25,5,2020
Electric usage,2020-05-25 00:52:30,2020-05-25 00:45:00,2020-05-25 00:59:00,0.06,kWh,,14.444444444444445,11.11111111111111,81.0,,8.0,0.0,30.198,0.0,,25,5,2020
Electric usage,2020-05-25 01:07:30,2020-05-25 01:00:00,2020-05-25 01:14:00,0.07,kWh,,14.444444444444445,11.11111111111111,81.0,,9.0,0.0,30.196,0.0,,25,5,2020
Electric usage,2020-05-25 01:22:30,2020-05-25 01:15:00,2020-05-25 01:29:00,0.04,kWh,,14.444444444444445,11.11111111111111,81.0,,10.0,0.0,30.194,0.0,,25,5,2020
Electric usage,2020-05-25 01:37:30,2020-05-25 01:30:00,2020-05-25 01:44:00,0.04,kWh,,14.444444444444445,11.11111111111111,81.0,,11.0,0.0,30.192,0.0,,25,5,2020
Electric usage,2020-05-25 01:52:30,2020-05-25 01:45:00,2020-05-25 01:59:00,0.04,kWh,,14.25925925925926,11.296296296296296,83.0,,12.0,0.0,30.19,0.0,,25,5,2020
Electric usage,2020-05-25 02:07:30,2020-05-25 02:00:00,2020-05-25 02:14:00,0.05,kWh,,14.074074074074074,11.481481481481481,85.0,,12.0,0.0,30.19,0.0,,25,5,2020
Electric usage,2020-05-25 02:22:30,2020-05-25 02:15:00,2020-05-25 02:29:00,0.07,kWh,,13.61111111111111,11.666666666666666,88.5,,13.5,0.0,30.19,0.0,,25,5,2020
Electric usage,2020-05-25 02:37:30,2020-05-25 02:30:00,2020-05-25 02:44:00,0.05,kWh,,13.333333333333334,11.666666666666666,90.0,,14.0,0.0,30.19,0.0,,25,5,2020
Electric usage,2020-05-25 02:52:30,2020-05-25 02:45:00,2020-05-25 02:59:00,0.04,kWh,,13.333333333333334,11.666666666666666,90.0,,13.6,0.0,30.19,0.0,,25,5,2020
Electric usage,2020-05-25 03:07:30,2020-05-25 03:00:00,2020-05-25 03:14:00,0.04,kWh,,13.333333333333334,11.666666666666666,90.0,,14.2,0.0,30.19,0.0,,25,5,2020
Electric usage,2020-05-25 03:22:30,2020-05-25 03:15:00,2020-05-25 03:29:00,0.04,kWh,,13.333333333333334,11.666666666666666,90.0,,14.8,0.0,30.19,0.0,,25,5,2020
Electric usage,2020-05-25 03:37:30,2020-05-25 03:30:00,2020-05-25 03:44:00,0.07,kWh,,13.333333333333334,11.666666666666666,90.0,,15.4,0.0,30.19,0.0,,25,5,2020
Electric usage,2020-05-25 03:52:30,2020-05-25 03:45:00,2020-05-25 03:59:00,0.06,kWh,,13.333333333333334,11.666666666666666,90.0,,15.0,0.0,30.19,0.0,,25,5,2020
Electric usage,2020-05-25 04:07:30,2020-05-25 04:00:00,2020-05-25 04:14:00,0.04,kWh,,13.333333333333334,11.666666666666666,90.0,,14.0,0.0,30.19,0.0,,25,5,2020
Electric usage,2020-05-25 04:22:30,2020-05-25 04:15:00,2020-05-25 04:29:00,0.04,kWh,,13.333333333333334,11.666666666666666,90.0,,13.0,0.0,30.186666666666667,0.0,,25,5,2020
Electric usage,2020-05-25 04:37:30,2020-05-25 04:30:00,2020-05-25 04:44:00,0.04,kWh,,13.333333333333334,11.666666666666666,90.0,,13.0,0.0,30.183333333333334,0.0,,25,5,2020
Electric usage,2020-05-25 04:52:30,2020-05-25 04:45:00,2020-05-25 04:59:00,0.06,kWh,,13.333333333333334,11.666666666666666,90.0,,12.4,0.0,30.182,0.0,,25,5,2020
Electric usage,2020-05-25 05:07:30,2020-05-25 05:00:00,2020-05-25 05:14:00,0.07,kWh,,13.333333333333334,11.666666666666666,90.0,,11.8,0.0,30.184,0.0,,25,5,2020
Electric usage,2020-05-25 05:22:30,2020-05-25 05:15:00,2020-05-25 05:29:00,0.04,kWh,,13.333333333333334,11.666666666666666,90.0,,11.2,0.0,30.186,0.0,,25,5,2020
Electric usage,2020-05-25 05:37:30,2020-05-25 05:30:00,2020-05-25 05:44:00,0.04,kWh,,13.333333333333334,11.666666666666666,90.0,,10.6,0.0,30.188000000000002,0.0,,25,5,2020
Electric usage,2020-05-25 05:52:30,2020-05-25 05:45:00,2020-05-25 05:59:00,0.04,kWh,,13.444444444444445,11.666666666666666,89.4,,9.8,0.0,30.194000000000003,0.0,,25,5,2020
Electric usage,2020-05-25 06:07:30,2020-05-25 06:00:00,2020-05-25 06:14:00,0.05,kWh,,13.555555555555555,11.666666666666666,88.8,,9.6,0.0,30.198,0.0,,25,5,2020
Electric usage,2020-05-25 06:22:30,2020-05-25 06:15:00,2020-05-25 06:29:00,0.07,kWh,,13.666666666666668,11.666666666666666,88.2,,9.4,0.0,30.202,0.0,,25,5,2020
Electric usage,2020-05-25 06:37:30,2020-05-25 06:30:00,2020-05-25 06:44:00,0.04,kWh,,13.777777777777779,11.666666666666666,87.6,,9.2,0.0,30.206,0.0,,25,5,2020
Electric usage,2020-05-25 06:52:30,2020-05-25 06:45:00,2020-05-25 06:59:00,0.04,kWh,,13.88888888888889,11.666666666666666,87.0,,8.5,0.0,30.215,0.0,,25,5,2020
Electric usage,2020-05-25 07:07:30,2020-05-25 07:00:00,2020-05-25 07:14:00,0.05,kWh,,13.88888888888889,11.851851851851851,87.66666666666667,,8.0,0.0,30.223333333333333,0.0,,25,5,2020
Electric usage,2020-05-25 07:22:30,2020-05-25 07:15:00,2020-05-25 07:29:00,0.07,kWh,,13.88888888888889,12.037037037037035,88.33333333333333,,8.0,0.0,30.226666666666667,0.0,,25,5,2020
Electric usage,2020-05-25 07:37:30,2020-05-25 07:30:00,2020-05-25 07:44:00,0.13,kWh,,13.88888888888889,12.22222222222222,89.0,,8.5,0.0,30.23,0.0,,25,5,2020
Electric usage,2020-05-25 07:52:30,2020-05-25 07:45:00,2020-05-25 07:59:00,0.06,kWh,,13.88888888888889,12.22222222222222,89.0,,7.333333333333333,0.0,30.23,0.0,,25,5,2020
Electric usage,2020-05-25 08:07:30,2020-05-25 08:00:00,2020-05-25 08:14:00,0.03,kWh,,13.88888888888889,12.22222222222222,89.0,,7.666666666666667,0.0,30.23,0.0,,25,5,2020
Electric usage,2020-05-25 08:22:30,2020-05-25 08:15:00,2020-05-25 08:29:00,0.03,kWh,,14.074074074074074,12.22222222222222,88.33333333333333,,8.333333333333334,0.0,30.226666666666667,0.0,,25,5,2020
Electric usage,2020-05-25 08:37:30,2020-05-25 08:30:00,2020-05-25 08:44:00,0.1,kWh,,14.25925925925926,12.22222222222222,87.66666666666667,,8.666666666666666,0.0,30.223333333333333,0.0,,25,5,2020
Electric usage,2020-05-25 08:52:30,2020-05-25 08:45:00,2020-05-25 08:59:00,0.07,kWh,,14.555555555555555,12.22222222222222,86.2,,9.2,0.0,30.218,0.0,,25,5,2020
Electric usage,2020-05-25 09:07:30,2020-05-25 09:00:00,2020-05-25 09:14:00,0.06,kWh,,14.666666666666666,12.22222222222222,85.4,,9.4,0.0,30.216,0.0,,25,5,2020
Electric usage,2020-05-25 09:22:30,2020-05-25 09:15:00,2020-05-25 09:29:00,0.07,kWh,,14.777777777777779,12.22222222222222,84.6,,9.6,0.0,30.214,0.0,,25,5,2020
Electric usage,2020-05-25 09:37:30,2020-05-25 09:30:00,2020-05-25 09:44:00,0.06,kWh,,14.88888888888889,12.22222222222222,83.8,,9.8,0.0,30.212,0.0,,25,5,2020
Electric usage,2020-05-25 09:52:30,2020-05-25 09:45:00,2020-05-25 09:59:00,0.07,kWh,,15.37037037037037,12.037037037037035,80.33333333333333,,10.666666666666666,0.0,30.206666666666667,0.0,,25,5,2020
Electric usage,2020-05-25 10:07:30,2020-05-25 10:00:00,2020-05-25 10:14:00,0.07,kWh,,15.74074074074074,11.851851851851851,77.66666666666667,,11.333333333333334,0.0,30.203333333333333,0.0,,25,5,2020
Electric usage,2020-05-25 10:22:30,2020-05-25 10:15:00,2020-05-25 10:29:00,0.07,kWh,,15.925925925925926,11.666666666666666,76.0,,10.666666666666666,0.0,30.203333333333333,0.0,,25,5,2020
Electric usage,2020-05-25 10:37:30,2020-05-25 10:30:00,2020-05-25 10:44:00,0.03,kWh,,15.74074074074074,11.666666666666666,77.0,,9.333333333333334,0.0,30.206666666666667,0.0,,25,5,2020
Electric usage,2020-05-25 10:52:30,2020-05-25 10:45:00,2020-05-25 10:59:00,0.03,kWh,,15.777777777777779,11.777777777777777,77.4,,8.2,0.0,30.212,0.0,,25,5,2020
Electric usage,2020-05-25 11:07:30,2020-05-25 11:00:00,2020-05-25 11:14:00,0.03,kWh,,16.0,11.888888888888888,76.8,,8.4,0.0,30.214,0.0,,25,5,2020
Electric usage,2020-05-25 11:22:30,2020-05-25 11:15:00,2020-05-25 11:29:00,0.05,kWh,,16.22222222222222,11.999999999999998,76.2,,8.6,0.0,30.216,0.0,,25,5,2020
Electric usage,2020-05-25 11:37:30,2020-05-25 11:30:00,2020-05-25 11:44:00,0.09,kWh,,16.444444444444446,12.111111111111109,75.6,,8.8,0.0,30.218,0.0,,25,5,2020
Electric usage,2020-05-25 11:52:30,2020-05-25 11:45:00,2020-05-25 11:59:00,0.05,kWh,,16.805555555555557,12.22222222222222,74.25,,9.0,0.0,30.2175,0.0,,25,5,2020
Electric usage,2020-05-25 12:07:30,2020-05-25 12:00:00,2020-05-25 12:14:00,0.06,kWh,,16.944444444444443,12.22222222222222,73.5,,9.0,0.0,30.215,0.0,,25,5,2020
Electric usage,2020-05-25 12:22:30,2020-05-25 12:15:00,2020-05-25 12:29:00,0.05,kWh,,17.083333333333332,12.22222222222222,72.75,,9.0,0.0,30.2125,0.0,,25,5,2020
Electric usage,2020-05-25 12:37:30,2020-05-25 12:30:00,2020-05-25 12:44:00,0.08,kWh,,17.22222222222222,12.22222222222222,72.0,,9.0,0.0,30.215,0.0,,25,5,2020
Electric usage,2020-05-25 12:52:30,2020-05-25 12:45:00,2020-05-25 12:59:00,0.09,kWh,,17.333333333333332,12.22222222222222,71.6,,9.6,0.0,30.22,0.0,,25,5,2020
Electric usage,2020-05-25 13:07:30,2020-05-25 13:00:00,2020-05-25 13:14:00,0.09,kWh,,17.444444444444443,12.22222222222222,71.2,,10.2,0.0,30.22,0.0,,25,5,2020
Electric usage,2020-05-25 13:22:30,2020-05-25 13:15:00,2020-05-25 13:29:00,0.09,kWh,,17.555555555555557,12.22222222222222,70.8,,10.8,0.0,30.22,0.0,,25,5,2020
Electric usage,2020-05-25 13:37:30,2020-05-25 13:30:00,2020-05-25 13:44:00,0.09,kWh,,17.666666666666668,12.22222222222222,70.4,,11.4,0.0,30.22,0.0,,25,5,2020
Electric usage,2020-05-25 13:52:30,2020-05-25 13:45:00,2020-05-25 13:59:00,0.07,kWh,,17.962962962962962,12.22222222222222,69.33333333333333,,12.0,0.0,30.216666666666665,0.0,,25,5,2020
Electric usage,2020-05-25 14:07:30,2020-05-25 14:00:00,2020-05-25 14:14:00,0.07,kWh,,18.148148148148145,12.22222222222222,68.66666666666667,,12.0,0.0,30.213333333333335,0.0,,25,5,2020
Electric usage,2020-05-25 14:22:30,2020-05-25 14:15:00,2020-05-25 14:29:00,0.08,kWh,,18.33333333333333,12.407407407407407,68.66666666666667,,12.0,0.0,30.21,0.0,,25,5,2020
Electric usage,2020-05-25 14:37:30,2020-05-25 14:30:00,2020-05-25 14:44:00,0.13,kWh,,18.33333333333333,12.592592592592593,69.33333333333333,,12.0,0.0,30.21,0.0,,25,5,2020
Electric usage,2020-05-25 14:52:30,2020-05-25 14:45:00,2020-05-25 14:59:00,0.13,kWh,,18.44444444444444,12.77777777777778,69.6,,11.6,0.0,30.204,0.0,,25,5,2020
Electric usage,2020-05-25 15:07:30,2020-05-25 15:00:00,2020-05-25 15:14:00,0.04,kWh,,18.555555555555554,12.77777777777778,69.2,,11.2,0.0,30.198,0.0,,25,5,2020
Electric usage,2020-05-25 15:22:30,2020-05-25 15:15:00,2020-05-25 15:29:00,0.08,kWh,,18.666666666666664,12.77777777777778,68.8,,10.8,0.0,30.192,0.0,,25,5,2020
Electric usage,2020-05-25 15:37:30,2020-05-25 15:30:00,2020-05-25 15:44:00,0.07,kWh,,18.77777777777778,12.77777777777778,68.4,,10.4,0.0,30.186,0.0,,25,5,2020
Electric usage,2020-05-25 15:52:30,2020-05-25 15:45:00,2020-05-25 15:59:00,0.07,kWh,,18.88888888888889,12.77777777777778,68.0,,10.4,0.0,30.174,0.0,,25,5,2020
Electric usage,2020-05-25 16:07:30,2020-05-25 16:00:00,2020-05-25 16:14:00,0.07,kWh,,18.88888888888889,12.77777777777778,68.0,,10.8,0.0,30.168,0.0,,25,5,2020
Electric usage,2020-05-25 16:22:30,2020-05-25 16:15:00,2020-05-25 16:29:00,0.06,kWh,,18.88888888888889,12.77777777777778,68.0,,11.2,0.0,30.162,0.0,,25,5,2020
Electric usage,2020-05-25 16:37:30,2020-05-25 16:30:00,2020-05-25 16:44:00,0.04,kWh,,18.88888888888889,12.77777777777778,68.0,,11.6,0.0,30.156,0.0,,25,5,2020
Electric usage,2020-05-25 16:52:30,2020-05-25 16:45:00,2020-05-25 16:59:00,0.04,kWh,,18.666666666666668,12.77777777777778,68.8,,12.0,0.0,30.15,0.0,,25,5,2020
Electric usage,2020-05-25 17:07:30,2020-05-25 17:00:00,2020-05-25 17:14:00,0.07,kWh,,18.444444444444446,12.77777777777778,69.6,,12.0,0.0,30.15,0.0,,25,5,2020
Electric usage,2020-05-25 17:22:30,2020-05-25 17:15:00,2020-05-25 17:29:00,0.09,kWh,,18.22222222222222,12.77777777777778,70.4,,12.0,0.0,30.15,0.0,,25,5,2020
Electric usage,2020-05-25 17:37:30,2020-05-25 17:30:00,2020-05-25 17:44:00,0.06,kWh,,18.0,12.77777777777778,71.2,,12.0,0.0,30.15,0.0,,25,5,2020
Electric usage,2020-05-25 17:52:30,2020-05-25 17:45:00,2020-05-25 17:59:00,0.04,kWh,,17.77777777777778,12.77777777777778,72.0,,11.6,0.0,30.148,0.0,,25,5,2020
Electric usage,2020-05-25 18:07:30,2020-05-25 18:00:00,2020-05-25 18:14:00,0.07,kWh,,17.77777777777778,12.77777777777778,72.0,,11.2,0.0,30.146,0.0,,25,5,2020
Electric usage,2020-05-25 18:22:30,2020-05-25 18:15:00,2020-05-25 18:29:00,0.07,kWh,,17.77777777777778,12.77777777777778,72.0,,10.8,0.0,30.144,0.0,,25,5,2020
Electric usage,2020-05-25 18:37:30,2020-05-25 18:30:00,2020-05-25 18:44:00,0.08,kWh,,17.77777777777778,12.77777777777778,72.0,,10.4,0.0,30.142,0.0,,25,5,2020
Electric usage,2020-05-25 18:52:30,2020-05-25 18:45:00,2020-05-25 18:59:00,0.24,kWh,,17.666666666666668,12.888888888888891,73.2,,9.6,0.0,30.14,0.0,,25,5,2020
Electric usage,2020-05-25 19:07:30,2020-05-25 19:00:00,2020-05-25 19:14:00,0.09,kWh,,17.555555555555557,13.000000000000002,74.4,,9.2,0.0,30.14,0.0,,25,5,2020
Electric usage,2020-05-25 19:22:30,2020-05-25 19:15:00,2020-05-25 19:29:00,0.17,kWh,,17.444444444444443,13.111111111111112,75.6,,8.8,0.0,30.14,0.0,,25,5,2020
Electric usage,2020-05-25 19:37:30,2020-05-25 19:30:00,2020-05-25 19:44:00,0.19,kWh,,17.333333333333332,13.222222222222223,76.8,,8.4,0.0,30.14,0.0,,25,5,2020
Electric usage,2020-05-25 19:52:30,2020-05-25 19:45:00,2020-05-25 19:59:00,0.07,kWh,,17.11111111111111,13.222222222222223,78.0,,8.0,0.0,30.144000000000002,0.0,,25,5,2020
Electric usage,2020-05-25 20:07:30,2020-05-25 20:00:00,2020-05-25 20:14:00,0.09,kWh,,17.0,13.111111111111112,78.0,,8.0,0.0,30.148,0.0,,25,5,2020
Electric usage,2020-05-25 20:22:30,2020-05-25 20:15:00,2020-05-25 20:29:00,0.1,kWh,,16.88888888888889,13.000000000000002,78.0,,8.0,0.0,30.152,0.0,,25,5,2020
Electric usage,2020-05-25 20:37:30,2020-05-25 20:30:00,2020-05-25 20:44:00,0.1,kWh,,16.77777777777778,12.888888888888891,78.0,,8.0,0.0,30.156,0.0,,25,5,2020
Electric usage,2020-05-25 20:52:30,2020-05-25 20:45:00,2020-05-25 20:59:00,0.1,kWh,,16.555555555555557,12.888888888888891,79.0,,7.6,0.0,30.162,0.0,,25,5,2020
Electric usage,2020-05-25 21:07:30,2020-05-25 21:00:00,2020-05-25 21:14:00,0.16,kWh,,16.444444444444446,13.000000000000002,80.0,,7.2,0.0,30.164,0.0,,25,5,2020
Electric usage,2020-05-25 21:22:30,2020-05-25 21:15:00,2020-05-25 21:29:00,0.07,kWh,,16.333333333333332,13.111111111111112,81.0,,6.8,0.0,30.166,0.0,,25,5,2020
Electric usage,2020-05-25 21:37:30,2020-05-25 21:30:00,2020-05-25 21:44:00,0.06,kWh,,16.22222222222222,13.222222222222223,82.0,,6.4,0.0,30.168000000000003,0.0,,25,5,2020
Electric usage,2020-05-25 21:52:30,2020-05-25 21:45:00,2020-05-25 21:59:00,0.06,kWh,,16.0,13.222222222222223,83.0,,5.8,0.0,30.172,0.0,,25,5,2020
Electric usage,2020-05-25 22:07:30,2020-05-25 22:00:00,2020-05-25 22:14:00,0.06,kWh,,15.88888888888889,13.111111111111112,83.0,,5.6,0.0,30.174,0.0,,25,5,2020
Electric usage,2020-05-25 22:22:30,2020-05-25 22:15:00,2020-05-25 22:29:00,0.08,kWh,,15.777777777777777,13.000000000000002,83.0,,5.4,0.0,30.176000000000002,0.0,,25,5,2020
Electric usage,2020-05-25 22:37:30,2020-05-25 22:30:00,2020-05-25 22:44:00,0.05,kWh,,15.666666666666666,12.888888888888891,83.0,,5.2,0.0,30.178,0.0,,25,5,2020
Electric usage,2020-05-25 22:52:30,2020-05-25 22:45:00,2020-05-25 22:59:00,0.04,kWh,,15.666666666666666,12.77777777777778,82.8,,4.6,0.0,30.182,0.0,,25,5,2020
