TYPE,CENTER TIME,START TIME,END TIME,USAGE,UNITS,NOTES,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DAY,MONTH,YEAR
Electric usage,2020-10-01 00:07:30,2020-10-01 00:00:00,2020-10-01 00:14:00,0.07,kWh,,18.666666666666664,9.11111111111111,53.6,,14.2,8.8,29.864,0.0,,1,10,2020
Electric usage,2020-10-01 00:22:30,2020-10-01 00:15:00,2020-10-01 00:29:00,0.04,kWh,,18.555555555555554,9.222222222222223,54.4,,13.8,13.200000000000001,29.866,0.0,,1,10,2020
Electric usage,2020-10-01 00:37:30,2020-10-01 00:30:00,2020-10-01 00:44:00,0.04,kWh,,18.44444444444444,9.333333333333334,55.2,,13.4,17.6,29.868000000000002,0.0,,1,10,2020
Electric usage,2020-10-01 00:52:30,2020-10-01 00:45:00,2020-10-01 00:59:00,0.03,kWh,,18.222222222222218,9.555555555555555,56.8,,12.8,17.6,29.87,0.0,,1,10,2020
Electric usage,2020-10-01 01:07:30,2020-10-01 01:00:00,2020-10-01 01:14:00,0.04,kWh,,18.111111111111107,9.666666666666666,57.6,,12.6,13.2,29.87,0.0,,1,10,2020
Electric usage,2020-10-01 01:22:30,2020-10-01 01:15:00,2020-10-01 01:29:00,0.05,kWh,,18.0,9.777777777777779,58.4,,12.4,8.799999999999999,29.87,0.0,,1,10,2020
Electric usage,2020-10-01 01:37:30,2020-10-01 01:30:00,2020-10-01 01:44:00,0.07,kWh,,17.88888888888889,9.88888888888889,59.2,,12.2,4.399999999999999,29.87,0.0,,1,10,2020
Electric usage,2020-10-01 01:52:30,2020-10-01 01:45:00,2020-10-01 01:59:00,0.06,kWh,,17.666666666666668,10.11111111111111,61.0,,11.2,0.0,29.866,0.0,,1,10,2020
Electric usage,2020-10-01 02:07:30,2020-10-01 02:00:00,2020-10-01 02:14:00,0.04,kWh,,17.555555555555557,10.222222222222221,62.0,,10.4,0.0,29.862000000000002,0.0,,1,10,2020
Electric usage,2020-10-01 02:22:30,2020-10-01 02:15:00,2020-10-01 02:29:00,0.04,kWh,,17.444444444444443,10.333333333333334,63.0,,9.6,0.0,29.858,0.0,,1,10,2020
Electric usage,2020-10-01 02:37:30,2020-10-01 02:30:00,2020-10-01 02:44:00,0.03,kWh,,17.333333333333332,10.444444444444445,64.0,,8.8,0.0,29.854000000000003,0.0,,1,10,2020
Electric usage,2020-10-01 02:52:30,2020-10-01 02:45:00,2020-10-01 02:59:00,0.04,kWh,,17.22222222222222,10.555555555555555,65.0,,8.0,0.0,29.848000000000003,0.0,,1,10,2020
Electric usage,2020-10-01 03:07:30,2020-10-01 03:00:00,2020-10-01 03:14:00,0.07,kWh,,17.22222222222222,10.555555555555555,65.0,,8.0,0.0,29.846,0.0,,1,10,2020
Electric usage,2020-10-01 03:22:30,2020-10-01 03:15:00,2020-10-01 03:29:00,0.07,kWh,,17.22222222222222,10.555555555555555,65.0,,8.0,0.0,29.844,0.0,,1,10,2020
Electric usage,2020-10-01 03:37:30,2020-10-01 03:30:00,2020-10-01 03:44:00,0.04,kWh,,17.22222222222222,10.555555555555555,65.0,,8.0,0.0,29.842,0.0,,1,10,2020
Electric usage,2020-10-01 03:52:30,2020-10-01 03:45:00,2020-10-01 03:59:00,0.04,kWh,,17.22222222222222,10.555555555555555,65.0,,8.2,0.0,29.84,0.0,,1,10,2020
Electric usage,2020-10-01 04:07:30,2020-10-01 04:00:00,2020-10-01 04:14:00,0.04,kWh,,17.22222222222222,10.555555555555555,65.0,,8.4,0.0,29.84,0.0,,1,10,2020
Electric usage,2020-10-01 04:22:30,2020-10-01 04:15:00,2020-10-01 04:29:00,0.08,kWh,,17.22222222222222,10.555555555555555,65.0,,8.6,0.0,29.84,0.0,,1,10,2020
Electric usage,2020-10-01 04:37:30,2020-10-01 04:30:00,2020-10-01 04:44:00,0.07,kWh,,17.22222222222222,10.555555555555555,65.0,,8.8,0.0,29.84,0.0,,1,10,2020
Electric usage,2020-10-01 04:52:30,2020-10-01 04:45:00,2020-10-01 04:59:00,0.08,kWh,,17.22222222222222,10.666666666666666,65.4,,8.8,0.0,29.842,0.0,,1,10,2020
Electric usage,2020-10-01 05:07:30,2020-10-01 05:00:00,2020-10-01 05:14:00,0.04,kWh,,17.22222222222222,10.777777777777777,65.8,,8.6,0.0,29.844,0.0,,1,10,2020
Electric usage,2020-10-01 05:22:30,2020-10-01 05:15:00,2020-10-01 05:29:00,0.06,kWh,,17.22222222222222,10.88888888888889,66.2,,8.4,0.0,29.846,0.0,,1,10,2020
Electric usage,2020-10-01 05:37:30,2020-10-01 05:30:00,2020-10-01 05:44:00,0.05,kWh,,17.22222222222222,11.0,66.6,,8.2,0.0,29.848000000000003,0.0,,1,10,2020
Electric usage,2020-10-01 05:52:30,2020-10-01 05:45:00,2020-10-01 05:59:00,0.06,kWh,,17.11111111111111,11.11111111111111,67.6,,7.8,0.0,29.85,0.0,,1,10,2020
Electric usage,2020-10-01 06:07:30,2020-10-01 06:00:00,2020-10-01 06:14:00,0.1,kWh,,17.0,11.11111111111111,68.2,,7.6,0.0,29.85,0.0,,1,10,2020
Electric usage,2020-10-01 06:22:30,2020-10-01 06:15:00,2020-10-01 06:29:00,0.06,kWh,,16.88888888888889,11.11111111111111,68.8,,7.4,0.0,29.85,0.0,,1,10,2020
Electric usage,2020-10-01 06:37:30,2020-10-01 06:30:00,2020-10-01 06:44:00,0.04,kWh,,16.77777777777778,11.11111111111111,69.4,,7.2,0.0,29.85,0.0,,1,10,2020
