TYPE,CENTER TIME,START TIME,END TIME,USAGE,UNITS,NOTES,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DAY,MONTH,YEAR
Electric usage,2020-09-01 00:07:30,2020-09-01 00:00:00,2020-09-01 00:14:00,0.07,kWh,,23.111111111111107,15.777777777777777,63.6,,8.4,0.0,30.076,0.0,,1,9,2020
Electric usage,2020-09-01 00:22:30,2020-09-01 00:15:00,2020-09-01 00:29:00,0.03,kWh,,23.0,15.88888888888889,64.4,,8.6,0.0,30.073999999999998,0.0,,1,9,2020
Electric usage,2020-09-01 00:37:30,2020-09-01 00:30:00,2020-09-01 00:44:00,0.03,kWh,,22.88888888888889,16.0,65.2,,8.8,0.0,30.072,0.0,,1,9,2020
Electric usage,2020-09-01 00:52:30,2020-09-01 00:45:00,2020-09-01 00:59:00,0.04,kWh,,22.77777777777778,16.22222222222222,66.4,,8.8,0.0,30.07,0.0,,1,9,2020
Electric usage,2020-09-01 01:07:30,2020-09-01 01:00:00,2020-09-01 01:14:00,0.07,kWh,,22.77777777777778,16.333333333333332,66.8,,8.6,0.0,30.07,0.0,,1,9,2020
Electric usage,2020-09-01 01:22:30,2020-09-01 01:15:00,2020-09-01 01:29:00,0.04,kWh,,22.77777777777778,16.444444444444446,67.2,,8.4,0.0,30.07,0.0,,1,9,2020
Electric usage,2020-09-01 01:37:30,2020-09-01 01:30:00,2020-09-01 01:44:00,0.03,kWh,,22.77777777777778,16.555555555555557,67.6,,8.2,0.0,30.07,0.0,,1,9,2020
Electric usage,2020-09-01 01:52:30,2020-09-01 01:45:00,2020-09-01 01:59:00,0.03,kWh,,22.77777777777778,16.666666666666668,68.0,,7.8,0.0,30.07,0.0,,1,9,2020
Electric usage,2020-09-01 02:07:30,2020-09-01 02:00:00,2020-09-01 02:14:00,0.07,kWh,,22.77777777777778,16.666666666666668,68.0,,7.6,0.0,30.07,0.0,,1,9,2020
Electric usage,2020-09-01 02:22:30,2020-09-01 02:15:00,2020-09-01 02:29:00,0.04,kWh,,22.77777777777778,16.666666666666668,68.0,,7.4,0.0,30.07,0.0,,1,9,2020
Electric usage,2020-09-01 02:37:30,2020-09-01 02:30:00,2020-09-01 02:44:00,0.03,kWh,,22.77777777777778,16.666666666666668,68.0,,7.2,0.0,30.07,0.0,,1,9,2020
Electric usage,2020-09-01 02:52:30,2020-09-01 02:45:00,2020-09-01 02:59:00,0.03,kWh,,22.36111111111111,16.52777777777778,69.25,,7.25,0.0,30.072499999999998,0.0,,1,9,2020
